model,model_year,trim,motivator_number,channel,adjective_key,adjective_customer,boost,feature_anchor,notes
elantra,2026,se,3,any,sensible,sensible,4,roi_resale,approved_prudence_fallback
elantra,2026,sel,2,any,straightforward,straightforward,4,convenience_tech,focus_on_ease_of_use
elantra,2026,sel_sport_premium,1,any,elevated,elevated,4,interior_finish,status_boost_for_sport_trim
elantra,2026,n_line,5,any,exciting,exciting,5,acceleration_handling,high_energy_reward_energy
elantra,2026,limited,1,any,premium,premium,5,cabin_materials,focus_on_top_tier_materials
elantra,2026,n_dct,5,any,high_impact,high-impact,5,track_tuned_tech,maximum_reward_performance
elantra,2026,n_mt,5,any,engaging,engaging,5,manual_control,purist_enthusiast_reward
elantra_hybrid,2026,hev_sel_sport,3,any,efficient,efficient,4,fuel_savings,primary_hybrid_value_hook
elantra_hybrid,2026,limited,1,any,refined,refined,5,hybrid_ride_quality,smoothness_plus_status
elantra_hybrid,2026,blue,3,any,smart,smart,5,mpg_story,highest_practical_roi
ioniq_5_awd,2026,se,3,any,practical,practical,4,ev_efficiency,entry_level_ev_logic
ioniq_5_awd,2026,sel,2,any,convenient,convenient,4,charging_ease,autonomy_control_focus
ioniq_5_awd,2026,xrt,5,any,bold,bold,5,rugged_design,specific_reward_for_off_road_look
ioniq_5_awd,2026,limited,1,any,statement_making,statement-making,5,design_identity,flagship_ev_presence
ioniq_5_awd,2026,xrt_tow_hitch,3,any,informed,informed,4,towing_specs,data_backed_capability
ioniq_9_awd,2026,se_awd,4,any,secure,secure,4,traction_stability,safety_for_large_family_ev
ioniq_9_awd,2026,sel_awd,6,any,welcoming,welcoming,4,cabin_space,hospitality_focus_for_families
ioniq_9_awd,2026,performance_limited_awd,1,any,flagship,flagship,5,presence_scale,top_tier_status_positioning
ioniq_9_awd,2026,performance_calligraphy_awd,1,any,prestige,prestige,5,signature_design,the_ultimate_statement
ioniq_9_awd,2026,performance_calligraphy_design_awd,1,any,exclusive,exclusive,5,bespoke_details,maximum_status
kona_awd,2026,se,3,any,sensible,sensible,4,utility_value,smart_city_suv_logic
kona_awd,2026,sel_sport_awd,5,any,refreshing,refreshing,4,vibrant_design,modern_urban_reward
kona_awd,2026,sel_premium_awd,1,any,polished,polished,4,tech_updates,refined_tech_forward_feel
kona_awd,2026,limited,1,any,high_impact,high-impact,5,wheels_finish,visual_standout_styling
palisade_awd,2026,se,4,any,dependable,dependable,4,reliability,foundational_security_word
palisade_awd,2026,sel_convenience,2,any,flexible,flexible,4,seating_layout,autonomy_choice_focus
palisade_awd,2026,sel_premium_7p,6,any,together,together,4,captain_chairs,focus_on_shared_experiences
palisade_awd,2026,sel_7p,6,any,connected,connected,4,passenger_tech,connection_through_utility
palisade_awd,2026,xrt_pro,5,any,bold,bold,5,rugged_appearance,tough_reward_for_adventure
palisade_awd,2026,sel_8p,6,any,family_friendly,family-friendly,5,bench_seating,direct_connection_family_hook
palisade_awd,2026,limited,1,any,refined,refined,5,interior_comfort,sophisticated_status_word
palisade_awd,2026,sel_premium_8p,6,any,welcoming,welcoming,4,cargo_seating,maximum_group_hospitality
palisade_awd,2026,calligraphy,1,any,prestige,prestige,5,materials_finish,ultimate_palisade_status
palisade_hybrid,2026,sel_7p,3,any,smart,smart,4,hybrid_value,the_logical_premium_choice
palisade_hybrid,2026,blue_sel_7p,3,any,efficient,efficient,5,fuel_savings,direct_roi_for_families
palisade_hybrid,2026,sel_8p,3,any,practical,practical,4,family_utility,logical_family_hybrid
palisade_hybrid,2026,blue_sel_8p,3,any,smart,smart,5,long_term_value,high_mileage_family_efficiency
palisade_hybrid,2026,sel_premium_7p,6,any,together,together,4,cabin_comfort,hybrid_smoothness_for_families
palisade_hybrid,2026,blue_sel_premium_7p,3,any,efficient,efficient,5,fuel_economy,data_backed_hybrid_savings
palisade_hybrid,2026,sel_premium_8p,6,any,welcoming,welcoming,4,interior_space,hospitality_focus
palisade_hybrid,2026,blue_sel_premium_8p,3,any,smart,smart,5,ownership_costs,prudence_priority
palisade_hybrid,2026,limited,1,any,elevated,elevated,5,hybrid_tech,modern_status_plus_efficiency
palisade_hybrid,2026,calligraphy,1,any,refined,refined,5,top_tier_comfort,flagship_hybrid_prestige
santa_cruz_awd,2026,se,3,any,practical,practical,4,right_sized,decision_value_framing
santa_cruz_awd,2026,sel,3,any,sensible,sensible,4,utility_value,logical_urban_truck_choice
santa_cruz_awd,2026,xrt,5,any,adventurous,adventurous,5,rugged_cues,high_energy_lifestyle_reward
santa_cruz_awd,2026,limited,1,any,standout,standout,4,curb_appeal,truck_presence_with_refinement
santa_cruz_awd,2026,sel_activity,5,any,versatile,versatile,5,lifestyle_bed,play_and_utility_combined
santa_fe_awd,2026,se,4,any,trustworthy,trustworthy,4,stability,family_security_foundation
santa_fe_awd,2026,sel,2,any,straightforward,straightforward,4,buying_process,easy_choice_for_volume
santa_fe_awd,2026,xrt,5,any,adventure_ready,adventure-ready,5,off_road_cues,rugged_lifestyle_reward
santa_fe_awd,2026,limited,5,any,upgraded,upgraded,4,premium_tech,the_family_reward_trim
santa_fe_awd,2026,calligraphy,1,any,elevated,elevated,5,redesign_style,bold_status_symbol
santa_fe_hybrid,2026,se_awd,3,any,proven,proven,4,hybrid_reliability,efficiency_with_confidence
santa_fe_hybrid,2026,limited,3,any,informed,informed,4,ownership_costs,data_backed_value
santa_fe_hybrid,2026,calligraphy,1,any,prestige,prestige,5,nappa_leather,top_tier_hybrid_status
sonata,2026,se,3,any,value_focused,value-focused,4,value_protection,smart_entry_positioning
sonata,2026,sel,1,any,refined,refined,4,coupe_design,aesthetic_first_status
sonata,2026,n_line,5,any,high_impact,high-impact,5,acceleration,performance_first_reward
