motivator_number,motivator,adjective
1,Self-Validation,premium
1,Self-Validation,impressive
1,Self-Validation,sharp
1,Self-Validation,confident
1,Self-Validation,standout
1,Self-Validation,respected
1,Self-Validation,successful
2,Autonomy,independent
2,Autonomy,flexible
2,Autonomy,in-control
2,Autonomy,simple
2,Autonomy,straightforward
2,Autonomy,no-pressure
2,Autonomy,convenient
3,Prudence,smart
3,Prudence,practical
3,Prudence,informed
3,Prudence,efficient
3,Prudence,value
3,Prudence,logical
3,Prudence,evidence-based
4,Security,safe
4,Security,dependable
4,Security,secure
4,Security,protected
4,Security,stable
4,Security,worry-free
4,Security,trustworthy
5,Reward,deserved
5,Reward,upgraded
5,Reward,exciting
5,Reward,fun
5,Reward,luxurious
5,Reward,comfortable
5,Reward,refreshing
6,Connection,family-friendly
6,Connection,together
6,Connection,connected
6,Connection,supportive
6,Connection,thoughtful
6,Connection,meaningful
