motivator_number,adjective,channel,weight,notes
1,premium,any,5,"Emphasize top trims/materials/finish"
1,top-tier,any,5,"Best-in-line positioning without hype"
1,refined,email,5,"Pairs well with design + comfort language"
1,polished,email,4,"Professional tone; good for follow-ups"
1,standout,text,5,"Use when they want presence/attention"
1,statement-making,any,5,"Use for styling + curb appeal"
1,bold,any,4,"Great for color/wheels/appearance packages"
1,signature,any,4,"Use for 'this one feels like yours'"
1,flagship,any,4,"Use when the model is the 'best' version"
1,high-impact,any,4,"Use for first impression + design"
1,well-appointed,email,5,"Use for interior/features/comfort"
1,elevated,any,5,"Up-level feel without sounding pushy"
1,confident,any,4,"Use for drive feel + stance"
1,prestige,any,3,"Use sparingly; upscale positioning"
1,exclusive-feel,email,3,"Use carefully; avoid sounding elitist"
2,flexible,any,5,"Options/next steps on their schedule"
2,straightforward,any,5,"Clear process + pricing clarity"
2,simple,any,5,"Reduce friction; 'easy to do business with'"
2,no-hassle,any,5,"Minimize steps; remove pressure"
2,low-pressure,any,5,"Reassure 'at your pace'"
2,on-your-terms,any,5,"Customer control language"
2,convenient,any,5,"Time-saving + logistics"
2,at-your-pace,any,4,"Great for follow-up cadence"
2,quick,any,4,"Use for fast answers/next steps"
2,smooth,any,4,"Process experience language"
2,transparent,any,5,"No surprises; builds trust"
2,direct,any,4,"Crisp communication; fewer words"
2,streamlined,any,4,"Steps/process are simplified"
2,efficient,any,4,"Time + effort savings"
2,clear,any,5,"Use to confirm next action succinctly"
3,smart,any,5,"Value + rationale language"
3,practical,any,5,"Meets needs without fluff"
3,informed,any,5,"Supports research-minded customers"
3,value-focused,any,5,"Ties to pricing + cost-to-own"
3,well-priced,any,4,"Use carefully; avoid 'cheap'"
3,sensible,any,4,"Grounded decision language"
3,efficient,any,4,"MPG/time/ownership efficiency"
3,proven,any,4,"Track record; reliability + resale"
3,cost-effective,any,4,"Total value framing"
3,numbers-first,email,4,"Great for quotes/comparisons"
3,data-backed,email,4,"Use when sharing specs/comps"
3,transparent,any,5,"Reinforces trust in the deal"
3,well-researched,email,4,"Affirms their diligence"
3,strong-resale,email,4,"Use for trade/value protection"
3,long-term,any,4,"Ownership horizon framing"
4,safe,any,5,"Primary reassurance word"
4,secure,any,5,"Confidence + protection framing"
4,dependable,any,5,"Consistency/reliability emphasis"
4,reliable,any,5,"Simple, trusted language"
4,stable,any,4,"Drive feel + predictability"
4,confidence-inspiring,any,4,"Helps reduce anxiety"
4,well-protected,any,4,"Use for safety tech + warranty"
4,worry-free,any,5,"Peace-of-mind framing"
4,trustworthy,any,5,"Builds credibility + comfort"
4,sure-footed,any,4,"AWD/handling/weather confidence"
4,proven,any,4,"Track record framing"
4,road-ready,any,4,"Preparedness language"
4,family-safe,any,5,"When kids/family mentioned"
4,covered,email,4,"Warranty/coverage language"
4,steady,any,4,"Calm, reassuring tone"
5,well-deserved,any,5,"Celebration/reward framing"
5,upgraded,any,5,"Level-up without 'luxury' trigger"
5,exciting,any,4,"Emotion + momentum"
5,fun,any,4,"Light, upbeat energy"
5,refreshing,any,4,"'New chapter' feel"
5,comfort-forward,any,5,"Ride/seat/interior focus"
5,feature-packed,any,4,"Tech + convenience highlights"
5,enjoyable,any,4,"Driving experience framing"
5,feel-good,any,4,"Positive emotion without hype"
5,indulgent,email,3,"Use sparingly; premium comfort angle"
5,celebration-worthy,any,3,"Big moment framing (new car day)"
5,modern,any,4,"New design/tech updates"
5,stylish,any,4,"Appearance + personality"
5,effortless,any,4,"Comfort + ease together"
5,energizing,any,3,"Upbeat tone; use selectively"
6,family-friendly,any,5,"When household needs are central"
6,welcoming,any,5,"Tone setter for relationship"
6,thoughtful,any,5,"Personal touches + care"
6,caring,any,5,"Soft empathy without sounding scripted"
6,supportive,any,5,"'We've got you' energy"
6,connected,any,4,"Tech + people connection"
6,together,any,4,"Shared experience framing"
6,community-minded,any,4,"Local + relationship emphasis"
6,relationship-first,any,4,"Long-term support framing"
6,personalized,any,5,"Tailored to their needs/preferences"
6,attentive,any,5,"Responsiveness + listening"
6,familiar,any,4,"Comfort/known quantity"
6,trust-building,any,4,"Reassurance without 'salesy' tone"
6,respectful,any,5,"Creates safety + ease in comms"
6,considerate,any,5,"Soft, human tone for follow-ups"
