motivator_number,model,model_year,trim,channel,benefit_bullets
1,,,,any,Premium feel and clean design presence|Upgraded materials and “it feels right” comfort|Confidence-inspiring tech and features|A trim path that looks sharp and feels special
2,,,,any,Easy-to-live-with ownership|Simple controls and low-hassle daily driving|Flexible space for real life needs|Confidence that it will just work when you need it
3,,,,any,Strong value for what you get|Smart long-term cost-to-own advantages|Clear comparison between trims without confusion|Features that make the decision feel logical and evidence-based
4,,,,any,Built-in safety and stability confidence|Driver assistance that reduces stress|Visibility, control, and predictable handling|A vehicle that helps you feel protected day-to-day
5,,,,any,Comfort upgrades that feel like a true step up|Convenience features you’ll enjoy every day|A trim that feels like you earned it|Little “wow” touches that make driving more fun
6,,,,any,Comfortable space for family and friends|Convenient features that make shared time easier|A cabin that feels welcoming and well thought out|A vehicle that supports connection and togetherness

1,palisade,2026,,any,Premium cabin feel that reads “top tier”|Confident presence and upscale design|Comfort upgrades that make every drive feel special|Tech that feels polished and impressive
4,palisade,2026,,any,Strong safety suite for family confidence|Driver assistance that reduces fatigue|Stable, predictable ride feel|Peace-of-mind features that support everyday safety
6,palisade,2026,,any,Three-row comfort for everyone’s space|Easy in-and-out access for passengers|Convenient layout for family life|A shared space that feels comfortable and connected

3,tucson,2026,,any,Practical size with big real-world usability|Smart efficiency and value balance|Clear trim differences that make choosing easier|Features that support everyday practicality
2,tucson,2026,,any,Easy daily driving and parking comfort|Simple, flexible cargo and passenger use|Low-hassle tech that supports your routine|A vehicle that adapts to your schedule

3,ioniq_5,2026,,any,Confident EV value story with practical benefits|Useful range and charging convenience focus|Smart tech that supports planning and ownership|Clear trim logic without EV overwhelm
5,ioniq_5,2026,,any,Quiet, smooth drive that feels rewarding|Modern design that feels fresh and fun|Convenience and comfort upgrades you notice daily|A “this feels special” experience without being over the top
